first_prot,Gene names,Protein names,Peptides,Potential contaminant,Razor unique peptides,Unique peptides,Molweight kDa,Score,Qvalue,Sequence coverage,MSMS Count,Protein IDs,Majority protein Ids
Q7Z6E9,RBBP6,E3 ubiquitin-protein ligase RBBP6,21,,21,21,201.56,33.902,0.0,14.0,81,Q7Z6E9;Q7Z6E9-2;H3BSK8;Q7Z6E9-4;H3BUN0;I3L3Y2;A0A087WY32;Q7Z6E9-3,Q7Z6E9;Q7Z6E9-2;H3BSK8;Q7Z6E9-4
Q16576,RBBP7,Histone-binding protein RBBP7,18,,10,1,47.82,116.55,0.0,51.8,224,Q16576;E9PC52;Q5JP01;Q5JP02;Q5JNZ6;C9J7L0,Q16576;E9PC52;Q5JP01
O75884,RBBP9,Putative hydrolase RBBP9,7,,7,7,21.0,96.367,0.0,54.8,97,O75884;A0A087WYQ5;O75884-2,O75884;A0A087WYQ5;O75884-2
Q9BYM8,RBCK1,RanBP-type and C3HC4-type zinc finger-containing protein 1,15,,15,15,57.571,38.048,0.0,34.1,94,Q9BYM8;Q9BYM8-3;G3XAG9;B4DML5;A6PVK0;H0Y4S7;Q9BYM8-4;A6PVJ6;Q5JWR1;A6PVJ7,Q9BYM8;Q9BYM8-3;G3XAG9
O43251-6,RBFOX2,RNA binding protein fox-1 homolog 2;RNA binding protein fox-1 homolog,12,,12,5,47.215,34.679,0.0,31.6,60,O43251-6;O43251-8;O43251;O43251-10;B0QYV1;A0A0G2JRA5;O43251-5;O43251-2;O43251-9;B0QYY4;O43251-4;O43251-7;O43251-3;A0A0G2JRD1;S4R3K7,O43251-6;O43251-8;O43251;O43251-10;B0QYV1;A0A0G2JRA5;O43251-5;O43251-2;O43251-9;B0QYY4;O43251-4;O43251-7;O43251-3;A0A0G2JRD1;S4R3K7
Q9H477,RBKS,Ribokinase,9,,9,9,34.143,28.621,0.0,30.4,59,Q9H477;Q9H477-2;H7C091,Q9H477;Q9H477-2
Q08999,RBL2,Retinoblastoma-like protein 2,4,,4,4,128.37,7.0365,0.0,4.2,5,Q08999;F5H837;A0A0A0MTM7;J3KSF7;Q08999-2,Q08999;F5H837;A0A0A0MTM7
A0A0A0MR66,RBM10,RNA-binding protein 10,36,,36,32,110.36,145.02,0.0,40.3,316,A0A0A0MR66;P98175;P98175-2;P98175-3;P98175-4,A0A0A0MR66;P98175;P98175-2;P98175-3;P98175-4
Q9NTZ6,RBM12,RNA-binding protein 12,25,,25,25,97.394,83.226,0.0,27.8,411,Q9NTZ6;A6PVI1;A6PVI0;Q5JX62,Q9NTZ6
Q8IXT5,RBM12B,RNA-binding protein 12B,24,,24,24,118.1,49.532,0.0,31.0,264,Q8IXT5;B9ZVT1;E5RHG1;E5RJ83;E5RJV8;E5RJW8,Q8IXT5;B9ZVT1
Q96PK6,RBM14,RNA-binding protein 14,33,,33,23,69.491,145.38,0.0,45.4,808,Q96PK6;Q96PK6-2;A0A0A6YYI9;F8WDX3;A0A0A0MSL8;B8ZZ74;Q96PK6-3;Q96PK6-4,Q96PK6
Q96T37,RBM15,Putative RNA-binding protein 15,32,,32,30,107.19,111.88,0.0,37.7,327,Q96T37;A0A087WWP4;Q96T37-4;Q96T37-2;Q96T37-3,Q96T37;A0A087WWP4;Q96T37-4;Q96T37-2;Q96T37-3
Q8NDT2,RBM15B,Putative RNA-binding protein 15B,11,,9,9,97.204,14.453,0.0,14.6,33,Q8NDT2;Q8NDT2-2,Q8NDT2;Q8NDT2-2
Q96I25,RBM17,Splicing factor 45,22,,22,21,44.961,123.81,0.0,54.6,377,Q96I25;Q5W011;Q5W010;Q5W012;H0Y6J6,Q96I25;Q5W011;Q5W010;Q5W012
Q9Y4C8,RBM19,Probable RNA-binding protein 19,20,,20,20,107.33,62.841,0.0,25.5,74,Q9Y4C8;H0YIL2,Q9Y4C8
Q9NW64,RBM22,Pre-mRNA-splicing factor RBM22,18,,18,18,46.895,37.028,0.0,41.4,164,Q9NW64;Q9NW64-2;E5RJW4;E5RHA8,Q9NW64;Q9NW64-2;E5RJW4
Q86U06,RBM23,Probable RNA-binding protein 23,9,,5,5,48.73,4.6548,0.0,22.3,19,Q86U06;Q86U06-2;Q86U06-4;Q86U06-5;G3XAP0;Q86U06-3;H0YJJ3;G3V546;G3V5Z6;G3V225;G3V2B4;G3V5V1;G3V2H9;G3V3S8;G3V3V3;G3V5J5;G3V5W6;A0A0B4J267;G3V2B6;G3V5Y2,Q86U06;Q86U06-2;Q86U06-4;Q86U06-5;G3XAP0;Q86U06-3;H0YJJ3
P49756,RBM25,RNA-binding protein 25,34,,34,34,100.18,125.94,0.0,37.5,396,P49756;P49756-2;P49756-3;E9PQU5;H0YE46;E9PSE8;P49756-4,P49756;P49756-2;P49756-3
Q9P2N5,RBM27,RNA-binding protein 27,28,,27,27,118.72,79.723,0.0,25.1,158,Q9P2N5;U3KPZ7,Q9P2N5;U3KPZ7
Q9NW13,RBM28,RNA-binding protein 28,26,,26,26,85.737,67.681,0.0,34.7,277,Q9NW13;Q9NW13-2;C9JAA9;C9JE21;H7C5G8,Q9NW13;Q9NW13-2
P98179,RBM3,RNA-binding protein 3,11,,11,11,17.17,193.12,0.0,70.1,235,P98179,P98179
Q96EV2,RBM33,RNA-binding protein 33,11,,11,10,129.98,22.462,0.0,14.5,77,Q96EV2;H0Y3K4;H7C0H2;A8MTF7;Q96EV2-2,Q96EV2;H0Y3K4
P42696,RBM34,RNA-binding protein 34,22,,22,22,48.564,35.36,0.0,51.2,106,P42696;A2A2V2;P42696-2;Q5TCT4;H7C5M1,P42696;A2A2V2;P42696-2
Q9H0Z9,RBM38;RBM24,RNA-binding protein 38;RNA-binding protein 24,6,,6,6,25.498,27.389,0.0,28.5,51,Q9H0Z9;F6VZ39;Q9BX46;Q9H0Z9-2;H0YA61;A6NG75;E9PSF1;H0Y8S7;Q9BX46-5;Q9BX46-2,Q9H0Z9;F6VZ39;Q9BX46;Q9H0Z9-2;H0YA61;A6NG75
Q14498-2,RBM39,RNA-binding protein 39,26,,26,22,58.656,275.91,0.0,61.6,674,Q14498-2;Q14498;Q14498-3;G3XAC6;H0Y4X3;Q5QP23;Q5QP22;F8WF24;F2Z2Z5;A8MYG5;F2Z3E6;F8WF73;A0A087X122;H0Y6I9,Q14498-2;Q14498;Q14498-3;G3XAC6;H0Y4X3
Q9BWF3,RBM4,RNA-binding protein 4,23,,23,1,40.313,243.29,0.0,64.8,478,Q9BWF3;E9PB51;Q9BWF3-4;D6R9K7;J3QRR5;Q9BWF3-3;Q9BWF3-2,Q9BWF3;E9PB51;Q9BWF3-4;D6R9K7;J3QRR5;Q9BWF3-3;Q9BWF3-2
Q9BTD8,RBM42,RNA-binding protein 42,13,,13,13,50.413,48.883,0.0,33.3,120,Q9BTD8;K7EP90;Q9BTD8-4;Q9BTD8-2;Q9BTD8-3;K7EQ03;K7ER08;K7EML2,Q9BTD8;K7EP90;Q9BTD8-4;Q9BTD8-2;Q9BTD8-3;K7EQ03;K7ER08
Q6ZSC3,RBM43,RNA-binding protein 43,2,,2,2,40.666,1.4696,0.0099756,6.4,4,Q6ZSC3,Q6ZSC3
Q8IUH3-3,RBM45,RNA-binding protein 45,10,,10,10,53.346,10.327,0.0,22.6,20,Q8IUH3-3;Q8IUH3;Q8IUH3-2;H7BZE0;H7C476,Q8IUH3-3;Q8IUH3;Q8IUH3-2
A0AV96,RBM47,RNA-binding protein 47,19,,19,18,64.098,102.79,0.0,46.0,241,A0AV96;A0AV96-2;B7Z8Z7;D6R9D6;D6RBS9;D6REZ6;D6R9M7;D6RBP6;D6RA49;D6RFL5;D6RCT1;Q8TBY0;Q8TBY0-2;Q8TBY0-3;D6RF41;Q5T0W7,A0AV96;A0AV96-2;B7Z8Z7;D6R9D6;D6RBS9;D6REZ6
Q9BQ04,RBM4B,RNA-binding protein 4B,21,,4,4,40.149,13.857,0.0,62.7,27,Q9BQ04;E9PLB0;E9PM61;U3KQD5,Q9BQ04;E9PLB0;E9PM61;U3KQD5
P52756,RBM5,RNA-binding protein 5,16,,13,13,92.153,23.131,0.0,22.3,63,P52756;C9JFQ5;P52756-4;P52756-2;P52756-5;C9J9P7,P52756
P78332,RBM6,RNA-binding protein 6,24,,22,18,128.64,22.417,0.0,22.5,60,P78332;E9PGM9;P78332-2;F8WCA5;P78332-3;F8WF63;C9JII0;C9JSL1,P78332;E9PGM9;P78332-2;F8WCA5
Q9Y580,RBM7,RNA-binding protein 7,9,,9,9,30.503,37.05,0.0,39.1,109,Q9Y580;J3KPD3;F5GXV8;F5GY08;F5H606;I3L521;G3V1T9;F5H674,Q9Y580;J3KPD3;F5GXV8;F5GY08;F5H606;I3L521
Q9Y5S9,RBM8A,RNA-binding protein 8A,8,,8,2,19.889,59.586,0.0,47.1,361,Q9Y5S9,Q9Y5S9
E7ETU5,RBMS1,"RNA-binding motif, single-stranded-interacting protein 1",9,,9,5,40.147,25.168,0.0,37.8,125,E7ETU5;P29558-2;P29558;F6Y5H0;E7EPF2,E7ETU5;P29558-2;P29558;F6Y5H0
Q15434,RBMS2,"RNA-binding motif, single-stranded-interacting protein 2",8,,5,5,43.958,24.093,0.0,26.3,52,Q15434;F8W1T6;F8VV01;F8VQS9;F5H5C8;F8VZR4,Q15434;F8W1T6
Q6XE24,RBMS3,"RNA-binding motif, single-stranded-interacting protein 3",4,,2,2,47.839,1.7018,0.0074316,10.5,4,Q6XE24;C9J9B2;C9JIJ9;Q6XE24-3;Q6XE24-4;Q6XE24-5;Q6XE24-2,Q6XE24;C9J9B2;C9JIJ9;Q6XE24-3;Q6XE24-4;Q6XE24-5;Q6XE24-2
P38159,RBMX,"RNA-binding motif protein, X chromosome;RNA-binding motif protein, X chromosome, N-terminally processed",46,,46,14,42.331,170.93,0.0,70.6,1475,P38159;P38159-2;H3BT71;H0Y6E7;H3BUY5;H3BR27;P38159-3;O75526;H3BNC1,P38159;P38159-2;H3BT71;H0Y6E7;H3BUY5
Q9Y388,RBMX2,"RNA-binding motif protein, X-linked 2",4,,4,4,37.335,7.9906,0.0,13.4,28,Q9Y388;A0A087WUI1;Q5JY83,Q9Y388;A0A087WUI1
Q96E39,RBMXL1,"RNA binding motif protein, X-linked-like-1",39,,8,8,42.141,20.733,0.0,66.4,125,Q96E39,Q96E39
A0A0A0MQT0,RBP1,Retinol-binding protein 1,14,,14,2,22.31,154.16,0.0,70.6,540,A0A0A0MQT0;P09455-3;P09455-2,A0A0A0MQT0;P09455-3;P09455-2
P09455,RBP1,Retinol-binding protein 1,13,,1,1,15.85,2.623,0.0013189,87.4,27,P09455;A0A0A0MTB9;H0YAK8,P09455;A0A0A0MTB9;H0YAK8
P02753,RBP4,Retinol-binding protein 4;Plasma retinol-binding protein(1-182);Plasma retinol-binding protein(1-181);Plasma retinol-binding protein(1-179);Plasma retinol-binding protein(1-176),6,,6,6,23.01,11.872,0.0,25.9,64,P02753;Q5VY30;A0A0C4DGV7,P02753;Q5VY30;A0A0C4DGV7
P82980,RBP5,Retinol-binding protein 5,3,,3,3,15.931,4.8678,0.0,22.2,12,P82980;A0A0B4J233;F5H2Q2,P82980;A0A0B4J233
Q06330,RBPJ,Recombining binding protein suppressor of hairless,7,,7,7,55.637,18.182,0.0,16.0,35,Q06330;Q06330-3;Q06330-2;Q06330-5;Q06330-4;Q06330-6;Q06330-7;H0Y8R3;D6R927,Q06330;Q06330-3;Q06330-2;Q06330-5;Q06330-4;Q06330-6;Q06330-7;H0Y8R3;D6R927
Q9UBG7,RBPJL,Recombining binding protein suppressor of hairless-like protein,2,,2,2,56.75,3.2856,0.00049925,4.4,1,Q9UBG7;Q5QPV1;Q9UBG7-2,Q9UBG7;Q5QPV1;Q9UBG7-2
Q93062-5,RBPMS,RNA-binding protein with multiple splicing,7,,7,7,17.022,27.217,0.0,61.8,100,Q93062-5;Q93062;Q93062-3;B4E3T4;Q93062-4;Q93062-2;H0YBU9;H0YC46;Q6ZRY4;E5RJD7;E5RFP4;E5RJ31,Q93062-5;Q93062;Q93062-3;B4E3T4;Q93062-4;Q93062-2;H0YBU9
Q9H1K0,RBSN,Rabenosyn-5,6,,6,6,88.869,6.5702,0.0,9.2,16,Q9H1K0;H7C204,Q9H1K0;H7C204
P62877,RBX1,"E3 ubiquitin-protein ligase RBX1;E3 ubiquitin-protein ligase RBX1, N-terminally processed",4,,4,4,12.274,67.944,0.0,30.6,150,P62877,P62877
P18754,RCC1,Regulator of chromosome condensation,22,,22,22,44.969,321.24,0.0,63.9,582,P18754;P18754-2;C9JW69;C9JRH2;C9JMJ4;C9J3R0;C9JQZ4;M0R1Q8,P18754;P18754-2;C9JW69;C9JRH2;C9JMJ4;C9J3R0;C9JQZ4
Q9P258,RCC2,Protein RCC2,32,,32,32,56.084,323.31,0.0,63.0,884,Q9P258,Q9P258
A6NED2,RCCD1,RCC1 domain-containing protein 1,2,,2,2,40.078,3.0381,0.00061508,5.3,7,A6NED2;G3V2I3,A6NED2;G3V2I3
Q9Y256,RCE1,CAAX prenyl protease 2,1,,1,1,35.832,3.5652,0.00050729,4.3,8,Q9Y256;E9PKA7;E9PI08,Q9Y256;E9PKA7;E9PI08
Q96PM5,RCHY1,RING finger and CHY zinc finger domain-containing protein 1,2,,2,2,30.11,3.9632,0.00012987,8.4,3,Q96PM5;Q96PM5-6;Q96PM5-2;D6RAF6;H0YAI4;Q96PM5-5;Q96PM5-3;Q96PM5-4;Q96PM5-8;Q96PM5-7,Q96PM5;Q96PM5-6;Q96PM5-2;D6RAF6;H0YAI4;Q96PM5-5;Q96PM5-3;Q96PM5-4;Q96PM5-8;Q96PM5-7
Q9Y2P8,RCL1,RNA 3-terminal phosphate cyclase-like protein,10,,10,10,40.842,32.987,0.0,29.2,85,Q9Y2P8;Q5VZU3;A0A087X1L9;Q9Y2P8-2;Q5VZU2;Q5VYW8,Q9Y2P8;Q5VZU3;A0A087X1L9
Q15293,RCN1,Reticulocalbin-1,19,,19,19,38.89,109.17,0.0,65.9,385,Q15293;Q15293-2;E9PP27,Q15293;Q15293-2
Q14257,RCN2,Reticulocalbin-2,17,,17,17,36.876,172.05,0.0,51.1,405,Q14257;Q14257-2;H0YL43;A8MXP8,Q14257;Q14257-2;H0YL43
Q96D15,RCN3,Reticulocalbin-3,12,,12,12,37.493,147.84,0.0,43.0,298,Q96D15;M0QZH0;M0QYB8;M0QZU3,Q96D15;M0QZH0
Q9UKL0,RCOR1,REST corepressor 1,14,,14,9,53.027,49.239,0.0,32.2,131,Q9UKL0;J3KN32,Q9UKL0;J3KN32
Q8IZ40,RCOR2,REST corepressor 2,9,,7,7,58.011,5.8807,0.0,20.8,11,Q8IZ40,Q8IZ40
Q9P2K3-3,RCOR3,REST corepressor 3,13,,8,8,61.214,13.606,0.0,25.7,36,Q9P2K3-3;Q9P2K3;Q9P2K3-4;Q9P2K3-2;B4DV59;E9PQE5;H0YF22;E9PR63;E9PPC5;H0YDD7,Q9P2K3-3;Q9P2K3;Q9P2K3-4;Q9P2K3-2;B4DV59
Q6JBY9,RCSD1,CapZ-interacting protein,14,,14,14,44.503,45.407,0.0,47.6,83,Q6JBY9;B7ZKW8;F6T4W9;Q6JBY9-2,Q6JBY9;B7ZKW8
Q8IZV5,RDH10,Retinol dehydrogenase 10,4,,4,4,38.087,6.8254,0.0,14.4,6,Q8IZV5;E5RK48,Q8IZV5;E5RK48
Q8TC12,RDH11,Retinol dehydrogenase 11,11,,11,7,35.386,48.196,0.0,39.3,168,Q8TC12;Q8TC12-2;G3V2G6;G3V234;Q8TC12-3;H0YIZ8;H0YJ46;Q96NR8,Q8TC12;Q8TC12-2;G3V2G6;G3V234;Q8TC12-3
Q8NBN7,RDH13,Retinol dehydrogenase 13,15,,15,15,35.932,61.388,0.0,50.8,166,Q8NBN7;Q8NBN7-2;G8JLA1;K7EMY5;K7EQB5;K7ERV1,Q8NBN7;Q8NBN7-2;G8JLA1
Q9HBH5,RDH14,Retinol dehydrogenase 14,18,,18,18,36.864,54.568,0.0,57.7,144,Q9HBH5;C9J2C7,Q9HBH5
P35241,RDX,Radixin,52,,31,30,68.563,188.84,0.0,59.5,494,P35241;P35241-5;P35241-4;P35241-2;E9PNV3;E9PQ82;P35241-3;E9PKN5,P35241;P35241-5;P35241-4
O95980,RECK,Reversion-inducing cysteine-rich protein with Kazal motifs,2,,2,2,106.46,1.8161,0.0060138,1.9,3,O95980,O95980
P46063,RECQL,ATP-dependent DNA helicase Q1,37,,37,37,73.457,323.31,0.0,62.9,964,P46063;F8WA66;F8WD97;F5H2L2;F5H4P4;F5H3W0;F5GYB7,P46063
O94761,RECQL4,ATP-dependent DNA helicase Q4,2,,2,2,133.08,4.1732,0.0001312,2.7,4,O94761;A0A087WZ30;V9GYB6;A0A087X072,O94761;A0A087WZ30;V9GYB6;A0A087X072
O94762,RECQL5,ATP-dependent DNA helicase Q5,12,,12,12,108.86,31.202,0.0,14.6,22,O94762;O94762-4;J3KTQ2;O94762-2;O94762-3;J3KSV9;J3QLU0;J3KSL7;J3KS37,O94762;O94762-4;J3KTQ2
Q6NUK4,REEP3,Receptor expression-enhancing protein 3;Receptor expression-enhancing protein,3,,3,3,29.264,3.1911,0.00049646,15.7,4,Q6NUK4;X6R3X1;Q6NUK4-2,Q6NUK4;X6R3X1;Q6NUK4-2
Q9H6H4,REEP4,Receptor expression-enhancing protein 4;Receptor expression-enhancing protein,6,,6,6,29.395,7.4094,0.0,28.0,19,Q9H6H4;E5RGS2;Q9H6H4-2,Q9H6H4;E5RGS2;Q9H6H4-2
Q00765,REEP5,Receptor expression-enhancing protein 5;Receptor expression-enhancing protein,8,,8,8,21.493,26.727,0.0,25.4,171,Q00765;E2QRG8;B7Z332;B7Z510;H0Y8J8;Q00765-2,Q00765;E2QRG8
Q96HR9,REEP6,Receptor expression-enhancing protein 6,3,,3,3,20.733,30.947,0.0,17.4,9,Q96HR9;A8MXN1;A8MWX0,Q96HR9
P05451,REG1A,Lithostathine-1-alpha,7,,7,7,18.731,39.522,0.0,45.8,22,P05451;P48304;H7BZ24,P05451
Q6UW15,REG3G,Regenerating islet-derived protein 3-gamma;Regenerating islet-derived protein 3-gamma 16.5 kDa form;Regenerating islet-derived protein 3-gamma 15 kDa form,4,,4,4,19.33,31.126,0.0,33.7,13,Q6UW15;Q6UW15-2,Q6UW15;Q6UW15-2
Q04864,REL,Proto-oncogene c-Rel,13,,13,13,68.519,26.622,0.0,26.5,77,Q04864;Q04864-2,Q04864;Q04864-2
Q2TAM5,RELA,,19,,19,1,42.868,77.424,0.0,56.0,258,Q2TAM5,Q2TAM5
Q01201,RELB,Transcription factor RelB,7,,7,7,62.134,33.633,0.0,18.3,47,Q01201;D6R992;D6RIV7,Q01201;D6R992
P51606,RENBP,N-acylglucosamine 2-epimerase,7,,7,7,48.83,16.932,0.0,14.8,50,P51606;A6NKZ2;H7C1A7;P51606-2,P51606;A6NKZ2
Q9BWE0,REPIN1,Replication initiator 1,14,,14,14,63.574,19.474,0.0,24.9,58,Q9BWE0;Q9BWE0-4;C9JYJ8;C9JZE3;E7EVL6,Q9BWE0;Q9BWE0-4;C9JYJ8;C9JZE3
Q96D71,REPS1,RalBP1-associated Eps domain-containing protein 1,16,,16,15,86.661,54.665,0.0,25.9,145,Q96D71;Q96D71-3;Q96D71-2;Q96D71-4;H0YDT0;E9PMG1;F2Z3L2;H7C1V2;H0YCR2;H0YE89;H7C225;H0YCF0;H0YE73,Q96D71;Q96D71-3;Q96D71-2;Q96D71-4;H0YDT0;E9PMG1
Q8NFH8,REPS2,RalBP1-associated Eps domain-containing protein 2,8,,7,7,71.533,5.913,0.0,15.9,18,Q8NFH8;Q8NFH8-4;Q8NFH8-3;Q8NFH8-2,Q8NFH8;Q8NFH8-4;Q8NFH8-3;Q8NFH8-2
O15258,RER1,Protein RER1,6,,6,6,22.958,24.497,0.0,33.7,102,O15258;Q9P0H9;Q5T092;A0A0A0MR06;Q5T091;Q5T093,O15258;Q9P0H9;Q5T092;A0A0A0MR06;Q5T091;Q5T093
Q9P2R6,RERE,Arginine-glutamic acid dipeptide repeats protein,4,,4,4,172.42,5.9337,0.0,4.1,5,Q9P2R6;B1AKN3;Q9P2R6-2;H7BYW9;H0Y975;D6RA28,Q9P2R6;B1AKN3;Q9P2R6-2;H7BYW9
P07949,RET,Proto-oncogene tyrosine-protein kinase receptor Ret;Soluble RET kinase fragment;Extracellular cell-membrane anchored RET cadherin 120 kDa fragment,3,,3,3,124.32,3.2744,0.00049888,3.4,3,P07949;P07949-2;Q9BTX6;C9JYL6,P07949;P07949-2;Q9BTX6
Q9HD89,RETN,Resistin,5,,5,5,11.419,23.429,0.0,59.3,16,Q9HD89;Q9HD89-2,Q9HD89
Q6NUM9,RETSAT,"All-trans-retinol 13,14-reductase",10,,10,10,66.819,26.386,0.0,20.0,61,Q6NUM9;Q6NUM9-2;H7C3J0;H7BZ16;H7BZ81;H0YGU3,Q6NUM9;Q6NUM9-2;H7C3J0
Q9Y3B8,REXO2,"Oligoribonuclease, mitochondrial",7,,1,1,26.832,3.7304,0.00025608,30.8,2,Q9Y3B8;H0YGR4;F5GYG5;H0YG54;Q9Y3B8-2;F5H7P1;Q9BTR4;F5H6P8;H0YG37;F5H784,Q9Y3B8;H0YGR4;F5GYG5;H0YG54;Q9Y3B8-2
Q9Y3B8-3,REXO2,"Oligoribonuclease, mitochondrial",7,,7,1,23.754,21.906,0.0,32.7,90,Q9Y3B8-3,Q9Y3B8-3
Q9GZR2,REXO4,RNA exonuclease 4,12,,12,12,46.671,29.156,0.0,34.6,31,Q9GZR2;A0A0C4DG22;A0A0C4DG31;Q9GZR2-2,Q9GZR2;A0A0C4DG22
P35251,RFC1,Replication factor C subunit 1,22,,22,22,128.25,62.676,0.0,24.8,117,P35251;P35251-2;D6RAD2;H0Y8U4;E0CX09;H0Y9P8,P35251;P35251-2
P35250,RFC2,Replication factor C subunit 2,16,,16,16,39.157,50.095,0.0,50.6,165,P35250;P35250-2;A0A087WVY3;H7C5P4;H7C5P1;H7C5Q7;F8WC37;H7C5A0;H7C5G4;H7C5S7;H7C596,P35250;P35250-2;A0A087WVY3
P40938,RFC3,Replication factor C subunit 3,14,,14,14,40.556,84.353,0.0,43.0,128,P40938;P40938-2;A0A087X270,P40938;P40938-2
P35249,RFC4,Replication factor C subunit 4,18,,18,18,39.681,130.77,0.0,51.2,178,P35249;C9JZI1;P35249-2;C9J8M3;C9JTT7;C9JXZ7;C9JGY5;F8WE44;C9JW34;H7C1P0,P35249;C9JZI1;P35249-2;C9J8M3;C9JTT7;C9JXZ7
P40937,RFC5,Replication factor C subunit 5,19,,19,19,38.496,102.41,0.0,62.9,149,P40937;P40937-2;F5H5S0;E9PEP3;C9JH72;F5H304;F5H0U6,P40937;P40937-2
Q96AA3,RFT1,Protein RFT1 homolog,3,,3,3,60.335,6.6895,0.0,5.4,40,Q96AA3;B5MDE0;C9JP01,Q96AA3;B5MDE0
Q14699,RFTN1,Raftlin,19,,19,19,63.145,62.751,0.0,46.0,101,Q14699;G3XAJ6;C9JHG2;C9JRN3;C9JWQ9;F8WAR1,Q14699;G3XAJ6;C9JHG2
P22670,RFX1,MHC class II regulatory factor RFX1,16,,16,14,104.76,57.343,0.0,22.7,113,P22670;H0Y7W5,P22670
P48380,RFX3;RFX2,Transcription factor RFX3;DNA-binding protein RFX2,5,,3,3,83.529,3.8285,0.00025803,7.7,5,P48380;P48380-2;P48378;P48378-2;F6USP3;P48380-3;K7EQA0;F6UGA0,P48380;P48380-2;P48378;P48378-2
P48382,RFX5,DNA-binding protein RFX5,14,,14,14,65.322,31.354,0.0,28.1,97,P48382;F8W689;P48382-2;F6UE82;A0A0A0MSQ2;F6R6G4;A0A0A0MSM9;F6X9D6;F6S3S0;A0A0A0MT34;H0Y4B4;F8WDU3;F8WFE4;F2Z2G0,P48382;F8W689;P48382-2;F6UE82;A0A0A0MSQ2
O14593,RFXANK,DNA-binding protein RFXANK,3,,3,3,28.102,1.9396,0.0043573,11.5,6,O14593;O14593-2;K7ENE6;A0A024R7P0;O14593-3;F5H7D2;H0YGQ6;F5GY33,O14593;O14593-2;K7ENE6;A0A024R7P0;O14593-3
O00287,RFXAP,Regulatory factor X-associated protein,3,,3,3,28.232,9.0411,0.0,13.2,14,O00287,O00287
Q9H4X1,RGCC,Regulator of cell cycle RGCC,4,,4,4,14.559,6.7922,0.0,36.5,10,Q9H4X1;Q9H4X1-2,Q9H4X1;Q9H4X1-2
Q9NZL6,RGL1,Ral guanine nucleotide dissociation stimulator-like 1,2,,2,2,86.7,2.4689,0.001425,3.0,6,Q9NZL6;Q9NZL6-2,Q9NZL6;Q9NZL6-2
O15211,RGL2,Ral guanine nucleotide dissociation stimulator-like 2,6,,6,6,83.548,6.8394,0.0,9.9,15,O15211;O15211-2;A2AB89,O15211;O15211-2
Q3MIN7,RGL3,Ral guanine nucleotide dissociation stimulator-like 3,1,,1,1,78.078,1.9773,0.0041408,1.7,2,Q3MIN7;Q3MIN7-2;A0A0A0MRX4,Q3MIN7;Q3MIN7-2;A0A0A0MRX4
Q15493,RGN,Regucalcin,4,,4,4,33.252,4.6225,0.0,19.1,16,Q15493;Q15493-2,Q15493;Q15493-2
A6NKT7,RGPD3,RanBP2-like and GRIP domain-containing protein 3,41,,2,0,197.48,6.3546,0.0,23.5,25,A6NKT7;J3KNE0,A6NKT7;J3KNE0
Q7Z3J3,RGPD4,RanBP2-like and GRIP domain-containing protein 4,40,,1,0,197.29,2.5981,0.0013158,23.2,6,Q7Z3J3,Q7Z3J3
Q99666,RGPD5;RGPD8,RANBP2-like and GRIP domain-containing protein 5/6,37,,3,1,198.92,3.5011,0.00050575,20.3,2,Q99666;J3KQ37;Q99666-2;Q7Z3J3-2;C9J1W9;C9JF75;C9J6W1;H7BZ48;H0YBN8,Q99666;J3KQ37
O43665-3,RGS10,Regulator of G-protein signaling 10,8,,8,8,21.21,81.979,0.0,54.7,183,O43665-3;O43665;O43665-2,O43665-3;O43665;O43665-2
O43566,RGS14,Regulator of G-protein signaling 14,3,,3,3,61.446,2.7159,0.0013264,6.4,6,O43566;H0Y8W3;O43566-6;O43566-5,O43566;H0Y8W3;O43566-6;O43566-5
P49795,RGS19,Regulator of G-protein signaling 19,3,,3,3,24.635,2.8754,0.00072993,17.5,7,P49795,P49795
Q8TEB9,RHBDD1,Rhomboid-related protein 4,2,,2,2,35.823,3.9878,0.00013004,8.3,4,Q8TEB9;B9A054;Q8TEB9-2,Q8TEB9;B9A054;Q8TEB9-2
Q6NTF9,RHBDD2,Rhomboid domain-containing protein 2,6,,6,6,39.202,9.7173,0.0,12.6,22,Q6NTF9;Q6NTF9-2;Q6NTF9-3;Q9UDT1,Q6NTF9;Q6NTF9-2;Q6NTF9-3
Q9Y3P4,RHBDD3,Rhomboid domain-containing protein 3,3,,3,3,40.484,4.734,0.0,9.8,13,Q9Y3P4,Q9Y3P4
Q96CC6,RHBDF1,Inactive rhomboid protein 1,3,,3,3,97.4,8.124,0.0,5.6,8,Q96CC6;A2IDA2;F8WCF7;B8ZZ07;F8WBS4,Q96CC6;A2IDA2
Q6PJF5,RHBDF2,Inactive rhomboid protein 2,17,,17,17,96.685,17.023,0.0,22.2,42,Q6PJF5;Q6PJF5-2;K7EPV3;K7EQ53;K7EKI1;K7EKA3;K7EIY3;K7ELA9;K7EJ10;K7EQT5,Q6PJF5;Q6PJF5-2
Q15382,RHEB,GTP-binding protein Rheb,10,,10,10,20.497,19.071,0.0,37.0,183,Q15382;C9J931;C9J469;F8WBL3,Q15382;C9J931
P61586,RHOA,Transforming protein RhoA,18,,18,10,21.768,152.79,0.0,82.9,797,P61586;C9JX21;C9JNR4;C9JRM1,P61586;C9JX21;C9JNR4
